Date,Field_Site,Nest_ID,Scientific_Name,Common_Name,DBH_Class,Tally
14/07/2023,Technoparc,N7R5TECH4,Salix_bebbiana,Bebb_willow,3_5,4
14/07/2023,Technoparc,N40R22TECH22,Dead_standing,Dead_standing,3_5,2
14/07/2023,Technoparc,N40R22TECH22,Dead_standing,Dead_standing,lessthan1,1
14/07/2023,Technoparc,N40R22TECH22,Rhamnus_cathartica,Common_buckthorn,lessthan1,5
14/07/2023,Technoparc,N77GC6TECH39,NA,NA,NA,0
14/07/2023,Technoparc,N66YW6TECH33,NA,NA,NA,0
14/07/2023,Technoparc,N65R34TECH32,NA,NA,NA,0
14/07/2023,Technoparc,N79YW13TECH41,Rhamnus_cathartica,Common_buckthorn,1_3,4
14/07/2023,Technoparc,N79YW13TECH41,Lonicera_tatarica,Tatarian_honeysuckle,lessthan1,8
17/07/2023,Technoparc,N78R36TECH40,Dead_standing,Dead_standing,1_3,3
17/07/2023,Technoparc,N78R36TECH40,Dead_standing,Dead_standing,3_5,1
17/07/2023,Technoparc,N95YW21TECH45,Cornus_sericea,Red_osier_dogwood,lessthan1,3
17/07/2023,Technoparc,N95YW21TECH45,Rhamnus_cathartica,Common_buckthorn,lessthan1,1
17/07/2023,Technoparc,N88YW17TECH44,Physocarpus_opulifolius,Common_ninebark,lessthan1,13
17/07/2023,Technoparc,N81R38TECH43,Dead_standing,Dead_standing,1_3,1
17/07/2023,Technoparc,N81R38TECH43,Dead_standing,Dead_standing,lessthan1,1
17/07/2023,Technoparc,N81R38TECH43,Fraxinus_pennsylvanica,Green_ash,lessthan1,4
17/07/2023,Technoparc,N72YW10TECH37,NA,NA,NA,0
09/06/2023,BoisdeLiesse,N24C13BDL7,NA,NA,NA,0
09/06/2023,BoisdeLiesse,N3C2BDL1,Rhus_typhina,Staghorn_sumac,lessthan1,3
09/06/2023,BoisdeLiesse,N21C10BDL4,Rhamus_cathartica,Common_buckthorn,5_7,1
09/06/2023,BoisdeLiesse,N21C10BDL4,Rhamus_cathartica,Common_buckthorn,lessthan1,1
09/06/2023,BoisdeLiesse,N21C10BDL4,Rhamus_cathartica,Common_buckthorn,1_3,2
09/06/2023,BoisdeLiesse,N52R30BDL17,Rhamus_cathartica,Common_buckthorn,7_9,1
09/06/2023,BoisdeLiesse,N52R30BDL17,Rhamus_cathartica,Common_buckthorn,5_7,1
09/06/2023,BoisdeLiesse,N52R30BDL17,Rhamus_cathartica,Common_buckthorn,1_3,2
09/06/2023,BoisdeLiesse,N52R30BDL17,Rhamus_cathartica,Common_buckthorn,3_5,1
09/06/2023,BoisdeLiesse,N52R30BDL17,Rhamus_cathartica,Common_buckthorn,lessthan1,4
09/06/2023,BoisdeLiesse,N44R26BDL15,NA,NA,NA,0
12/06/2023,BoisdeLiesse,N82YW14BDL26,Rhamus_cathartica,Common_buckthorn,lessthan1,2
12/06/2023,BoisdeLiesse,N82YW14BDL26,Lonicera_tatarica,Tatarian_honeysuckle,1_3,4
12/06/2023,BoisdeLiesse,N82YW14BDL26,Fraxinus_americana,White_ash,3_5,1
12/06/2023,BoisdeLiesse,N82YW14BDL26,Rhamus_cathartica,Common_buckthorn,1_3,2
12/06/2023,BoisdeLiesse,N82YW14BDL26,Rhamus_cathartica,Common_buckthorn,3_5,1
12/06/2023,BoisdeLiesse,N86GC9BDL30,Rhamus_cathartica,Common_buckthorn,1_3,10
12/06/2023,BoisdeLiesse,N37C18BDL14,Rhamus_cathartica,Common_buckthorn,lessthan1,9
12/06/2023,BoisdeLiesse,N37C18BDL14,Rhamus_cathartica,Common_buckthorn,1_3,1
12/06/2023,BoisdeLiesse,N37C18BDL14,Lonicera_tatarica,Tatarian_honeysuckle,lessthan1,10
19/06/2023,BoisdeLiesse,N10R8BDL2,Rhamus_cathartica,Common_buckthorn,1_3,4
19/06/2023,BoisdeLiesse,N10R8BDL2,Fraxinus_nigra,Black_ash,lessthan1,1
19/06/2023,BoisdeLiesse,N10R8BDL2,Fraxinus_pensylvanica,Green_ash,1_3,2
19/06/2023,BoisdeLiesse,N11C3BDL3,Dead_vine,Dead_vine,3_5,1
19/06/2023,BoisdeLiesse,N11C3BDL3,Dead_vine,Dead_vine,1_3,1
19/06/2023,BoisdeLiesse,N11C3BDL3,Rhamus_cathartica,Common_buckthorn,3_5,1
19/06/2023,BoisdeLiesse,N55GC2BDL20,Rhamus_cathartica,Common_buckthorn,lessthan1,18
19/06/2023,BoisdeLiesse,N55GC2BDL20,Rhamus_cathartica,Common_buckthorn,1_3,5
04/07/2023,BoisdeLiesse,N87YW16BDL31,NA,NA,NA,0
04/07/2023,BoisdeLiesse,N67C23BDL24,NA,NA,NA,0
17/07/2023,BoisdeLiesse,N94GC10BDL32,Lonicera_tatarica,Tatarian_honeysuckle,lessthan1,6
17/07/2023,BoisdeLiesse,N34C16BDL11,Dead_standing,Dead_standing,1_3,1
20/07/2023,BoisdeLiesse,N36C17BDL13,Dead_standing,Dead_standing,lessthan1,4
20/07/2023,BoisdeLiesse,N36C17BDL13,Dead_standing,Dead_standing,1_3,1
20/07/2023,BoisdeLiesse,N36C17BDL13,Rhamnus_cathartica,Common_buckthorn,1_3,1
20/07/2023,BoisdeLiesse,N84GC8BDL28,Rhamnus_cathartica,Common_buckthorn,1_3,5
20/07/2023,BoisdeLiesse,N84GC8BDL28,Rhamnus_cathartica,Common_buckthorn,3_5,3
20/07/2023,BoisdeLiesse,N85YW15BDL29,Fraxinus_pensylvannica,Green_ash,1_3,1
20/07/2023,BoisdeLiesse,N85YW15BDL29,Fraxinus_pensylvannica,Green_ash,lessthan1,1
20/07/2023,BoisdeLiesse,N85YW15BDL29,Rhamnus_cathartica,Common_buckthorn,lessthan1,3
20/07/2023,BoisdeLiesse,N45C19BDL16,Lonicera_tatartica,Tatarian_honeysuckle,lessthan1,10
20/07/2023,BoisdeLiesse,N45C19BDL16,Populus_tremuloides,Quaking_aspen,lessthan1,1
20/07/2023,BoisdeLiesse,N45C19BDL16,Populus_tremuloides,Quaking_aspen,1_3,2
20/07/2023,BoisdeLiesse,N54C21BDL19,Rhamnus_cathartica,Common_buckthorn,lessthan1,11
20/07/2023,BoisdeLiesse,N54C21BDL19,Rhamnus_cathartica,Common_buckthorn,1_3,1
20/07/2023,BoisdeLiesse,N83GC7BDL27,Rhus_typhina,Staghorn_sumac,1_3,1
20/07/2023,BoisdeLiesse,N83GC7BDL27,Rhamnus_cathartica,Common_buckthorn,lessthan1,1
20/07/2023,BoisdeLiesse,N83GC7BDL27,Lonicera_tatartica,Tatarian_honeysuckle,lessthan1,2
20/07/2023,BoisdeLiesse,N32R17BDL9,Lonicera_tatartica,Tatarian_honeysuckle,1_3,2
20/07/2023,BoisdeLiesse,N32R17BDL9,Lonicera_tatartica,Tatarian_honeysuckle,lessthan1,6
20/07/2023,BoisdeLiesse,N22C11BDL5,Dead_standing,Dead_standing,lessthan1,3
20/07/2023,BoisdeLiesse,N22C11BDL5,Rhamnus_cathartica,Common_buckthorn,1_3,1
20/07/2023,BoisdeLiesse,N22C11BDL5,Dead_standing,Dead_standing,1_3,1
