Date,Time,Weather,Field_Site,SmallorLarge,NestID,Species,Latitude,Longitude,Stage ,Predators,PredatorType,DistancetoTrail,Success,Fail_or_Success_Date
09/05/2023,1109,12,BoisdeLiesse,Small,N24C13BDL7,cardinal,45.50415818,-73.76674022,Nestling ,N,NA,0.8,N,21/05/2023
10/05/2023,0622,7,StoneyCroft,Small,N25R12STNY1,robin,45.42959667,-73.93810689,SUCCESS,N,NA,7,Y,04/06/2023
10/05/2023,0806,9,StoneyCroft,Large,N26C14STNY2,cardinal,45.43098129,-73.93848138,Building ,N,NA,1.8,N,19/05/2023
11/05/2023,0723,13,Technopark,Small,N27R13TECH16,robin,45.47825868,-73.7621777,Egg,N,NA,20,N,20/05/2023
11/05/2023,0832,18,Technopark,Small,N28R14TECH17,robin,45.47797029,-73.75679784,Building ,N,NA,NA,N,20/05/2023
11/05/2023,1018,18,Technopark,Large,N29R15TECH18,robin,45.47797029,-73.75679784,Nestling ,Y,Cowbird,3.08,N,02/06/2023
11/05/2023,1024,18,Technopark,Large,N30R16TECH19,robin,45.47797029,-73.75679784,Egg,N,NA,2.48,N,24/05/2023
12/05/2023,0725,16,BoisdeLiesse,Large,N32R17BDL9,robin,45.50713872,-73.76888845,SUCCESS,N,NA,3.32,Y,12/06/2023
12/05/2023,0801,17,BoisdeLiesse,Large,N33R18BDL10,robin,45.51002883,-73.7625401,SUCCESS,N,NA,4,Y,28/05/2023
12/05/2023,0849,18,BoisdeLiesse,Large,N34C16BDL11,cardinal,45.51105322,-73.76149476,Building ,N,NA,3.06,N,25/05/2023
15/05/2023,0910,12,BoisdeLiesse,Small,N36C17BDL13,cardinal,45.51211863,-73.75969135,Egg,N,NA,7,N,25/05/2023
15/05/2023,1140,17,BoisdeLiesse,Large,N37C18BDL14,cardinal,45.50987674,-73.76235431,Nestling ,N,NA,1.31,N,06/06/2023
17/05/2023,0706,2,Technopark,Small,N38R20TECH20,robin,45.47797029,-73.75679784,SUCCESS,N,NA,3.87,Y,12/06/2023
17/05/2023,0946,4,Technopark,Large,N39R21TECH21,robin,45.47797029,-73.75679784,Building ,N,NA,50,N,30/05/2023
17/05/2023,1000,4,Technopark,Large,N40R22TECH22,robin,45.47797029,-73.75679784,NA,N,NA,20,N,20/05/2023
17/05/2023,1013,4,Technopark,Large,N41R23TECH23,robin,45.47797029,-73.75679784,Nestling ,Y,Raven,4.64,N,16/06/2023
17/05/2023,1029,4,Technopark,Large,N42R24TECH24,robin,45.47797029,-73.75679784,Egg,Y,Raven,5.4,N,30/05/2023
17/05/2023,1057,4,Technopark,Large,N43R25TECH25,robin,45.47797029,-73.75679784,SUCCESS,N,NA,100,Y,30/05/2023
18/05/2023,0640,2,BoisdeLiesse,Large,N44R26BDL15,robin,45.50596508,-73.76827633,Nestling ,Y,Squirrel,20,N,12/06/2023
18/05/2023,0008,11,BoisdeLiesse,Small,N45C19BDL16,cardinal,45.50776791,-73.76673472,Egg,N,NA,10.2,N,31/05/2023
23/05/2023,0724,8,StoneyCroft,Small,N47R28STNY3,robin,45.43015166,-73.93858411,Building ,N,NA,30,N,28/05/2023
23/05/2023,1049,17,StoneyCroft,Large,N48YW1STNY4,yellow_warbler,45.4307571,-73.93956887,Building ,N,NA,NA,N,28/05/2023
24/05/2023,0636,15,Technopark,Small,N50C20TECH26,cardinal,45.47797029,-73.75679784,Building ,N,NA,4,N,30/05/2023
24/05/2023,0730,15,Technopark,Large,N51YW2TECH27,yellow_warbler,45.47797029,-73.75679784,Building ,N,NA,30,N,30/05/2023
25/05/2023,0642,5,BoisdeLiesse,Small,N52R30BDL17,robin,45.50579023,-73.77070625,NA,Y,NA,2.35,N,09/06/2023
25/05/2023,0740,8,BoisdeLiesse,Small,N53GC1BDL18,gray_catbird,45.50584568,-73.77085851,Egg,N,NA,NA,N,30/06/2023
25/05/2023,0837,9,BoisdeLiesse,Small,N54C21BDL19,cardinal,45.50800678,-73.7643304,Nestling ,N,NA,20,N,31/05/2023
25/05/2023,0928,11,BoisdeLiesse,Small,N55GC2BDL20,gray_catbird,45.50848782,-73.76398622,Egg,N,NA,10.1,N,06/06/2023
25/05/2023,0946,11,BoisdeLiesse,Small,N56YW3BDL21,yellow_warbler,45.50978796,-73.76219705,NA,N,NA,3.4,N,06/07/2023
25/05/2023,1057,13,BoisdeLiesse,Small,N57R31BDL22,robin,45.50462751,-73.76854896,Egg,N,NA,8,N,09/06/2023
25/05/2023,1259,15,BoisdeLiesse,Large,N58GC3BDL23,gray_catbird,45.50439983,-73.76811344,Egg,N,NA,20,N,19/06/2023
26/05/2023,0850,11,StoneyCroft,Large,N60GC4STNY5,gray_catbird,45.43085973,-73.9383004,Building ,Y,NA,2,N,07/06/2023
27/05/2023,1012,17,Technopark,Large,N61R32TECH28,robin,45.47797029,-73.75679784,SUCCESS,Y,NA,3.6,Y,30/06/2023
30/052023,0715,12,Technopark,Large,N62YW4TECH29,yellow_warbler,45.47797029,-73.75679784,SUCCESS,N,NA,30,Y,26/06/2023
30/05/2023,0742,15,Technopark,Large,N63YW5TECH30,yellow_warbler,45.48187596,-73.75990213,NA,N,NA,10,N,04/07/2023
30/052024,0742,15,Technopark,Large,N64R33TECH31,robin,45.47797029,-73.75679784,Egg,N,NA,10,N,12/06/2023
30/05/2024,0940,18,Technopark,Small,N65R34TECH32,robin,45.48187596,-73.75990213,SUCCESS,N,NA,NA,Y, 02/06/2023
30/052025,0951,18,Technopark,Small,N66YW6TECH33,yellow_warbler,45.48187596,-73.75990213,NA,N,NA,40,N,06/06/2023
31/05/2023,1106,24,BoisdeLiesse,Large,N67C23BDL24,cardinal,45.50485336,-73.76858101,Egg,Y,NA,5,N,26/06/2023
01/06/2023,1009,27,StoneyCroft,Small,N68R35STNY6,robin,45.43098715,-73.93877945,Nestling ,N,NA,0,N,22/06/2023
02/06/2023,0936,25,Technopark,Large,N69YW7TECH34,yellow_warbler,45.48187596,-73.75990213,Egg,Y,NA,1,N,30/06/2023
02/06/2023,0949,25,Technopark,Large,N70YW8TECH35,yellow_warbler,45.48187596,-73.75990213,Egg,N,NA,1,N,12/06/2023
02/06/2023,1148,28,Technopark,Large,N71YW9TECH36,yellow_warbler,45.48187596,-73.75990213,Egg,N,NA,40,N,16/06/2023
05/06/2023,0750,13,Technopark,Small,N72YW10TECH37,yellow_warbler,45.48187596,-73.75990213,NA,N,NA,0,N,04/07/2023
05/06/2023,0955,17,Technopark,Small,N73GC4TECH38,gray_catbird,45.48187596,-73.75990213,SUCCESS,N,NA,2.35,Y,26/06/2023
06/06/2023,1002,17,BoisdeLiesse,Small,N74GC5BDL25,gray_catbird,45.51138677,-73.7538313,Building ,N,NA,10,N,19/06/2023
07/06/2023,0635,11,StoneyCroft,Small,N75YW11STNY7,yellow_warbler,45.43069435,-73.93881808,NA,N,NA,3.52,N,11/07/2023
07/06/2023,0712,11,StoneyCroft,Small,N76YW12STNY8,yellow_warbler,45.43080008,-73.9379643,SUCCESS,N,NA,1.3,Y,26/06/2023
08/06/2023,0719,11,Technopark,Small,N77GC6TECH39,gray_catbird,45.48187596,-73.75990213,SUCCESS,Y,Raven,60,Y,06/07/2023
08/06/2023,0742,11,Technopark,Large,N78R36TECH40,robin,45.48187596,-73.75990213,Nestling ,N,NA,110,N,16/06/2023
08/06/2023,0805,12,Technopark,Small,N79YW13TECH41,yellow_warbler,45.48187596,-73.75990213,Nestling ,N,NA,2.27,N,16/06/2023
08/06/2023,1053,13,Technopark,Large,N81R38TECH43,robin,45.48187596,-73.75990213,SUCCESS,N,NA,20,Y,10/07/2023
09/06/2023,0706,11,BoisdeLiesse,Large,N82YW14BDL26,yellow_warbler,45.5064827,-73.76868398,Egg,N,NA,2.26,N,12/06/2023
09/06/2023,0754,11,BoisdeLiesse,Large,N83GC7BDL27,gray_catbird,45.50826881,-73.76190981,Building ,N,NA,50,N,19/06/2023
09/06/2023,0822,11,BoisdeLiesse,Small,N84GC8BDL28,gray_catbird,45.51209024,-73.75786366,NA,N,NA,2.3,N,04/07/2023
09/06/2023,0827,11,BoisdeLiesse,Small,N85YW15BDL29,yellow_warbler,45.51112988,-73.75745654,NA,N,NA,2.83,N,04/07/2023
09/06/2023,0858,13,BoisdeLiesse,Small,N86GC9BDL30,gray_catbird,45.50876076,-73.76260315,NA,N,NA,1.15,N,19/06/2023
12/06/2023,0632,19,BoisdeLiesse,Small,N87YW16BDL31,yellow_warbler,45.50410772,-73.76703718,Egg,N,NA,2.31,N,19/06/2023
12/06/2023,1158,25,Technopark,Large,N88YW17TECH44,yellow_warbler,45.48187596,-73.75990213,SUCCESS,N,NA,NA,Y,22/06/2023
14/06/2023,0800,18,StoneyCroft,Large,N89C24STNY9,cardinal,45.43060759,-73.93787545,Egg,N,NA,0.6,N,26/06/2023
14/06/2023,0830,17,StoneyCroft,Large,N90C25STNY10,cardinal,45.42860945,-73.93666626,Egg,Y,NA,4.4,N,04/07/2023
14/06/2023,1100,20,StoneyCroft,Large,N91YW18STNY11,yellow_warbler,45.43051647,-73.93919258,NA,N,NA,3.52,N,22/06/2023
21/06/2023,1100,24,StoneyCroft,Large,N92YW19STNY12,yellow_warbler,45.2572,-73.56313,NA,Y,NA,3.73,N,11/07/2023
21/06/2023,0002,24,StoneyCroft,Small,N93YW20STNY13,yellow_warbler,45.430898,-73.938348,Building ,N,NA,NA,N,07/05/2023
22/06/2023,0725,19,BoisdeLiesse,Small,N94GC10BDL32,gray_catbird,45.506647,-73.76352,NA,N,NA,2.04,N,30/06/2023
30/06/2023,0805,20,Technopark,Large,N95YW21TECH45,yellow_warbler,45.476117,-73.766892,SUCCESS,N,NA,1.25,Y,13/07/2023
07/05/2023,0745,22,StoneyCroft,Large,N96YW22STNY14,yellow_warbler,45.430291,-73.93967148,NA,Y,NA,1.75,N,11/07/2023
07/05/2023,0752,22,StoneyCroft,Small,N97YW23STNY15,yellow_warbler,45.43024846,-73.93981697,SUCCESS,N,NA,NA,Y,11/07/2023
06/07/2023,0744,24,Technopark,Large,N98C26TECH46,cardinal,45.470177,-73.763956,NA,N,NA,NA,N,08/08/2023
30/06/2023,1205,25,BoisdeLiesse,Large,N99GC11BDL33,gray_catbird,45.506647,-73.76352,Egg,N,NA,NA,N,17/7/2023
